|        a         |        b         |  sel  |       out        |
| 0000000000000000 | 0000000000000000 |   0   | 0000000000000000 |
| 0000000000000000 | 0000000000000000 |   1   | 0000000000000000 |
| 0000000000000000 | 1111111111111111 |   0   | 0000000000000000 |
| 0000000000000000 | 1111111111111111 |   1   | 1111111111111111 |
| 1111111111111111 | 1111111111111111 |   0   | 1111111111111111 |
| 1111111111111111 | 1111111111111111 |   1   | 1111111111111111 |
| 1010101010101010 | 0101010101010101 |   0   | 1010101010101010 |
| 1010101010101010 | 0101010101010101 |   1   | 0101010101010101 |
| 0000000001111011 | 0000000111001000 |   0   | 0000000001111011 |
| 0000000001111011 | 0000000111001000 |   1   | 0000000111001000 |
